,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Class
211,240720,210630,204255,189975,232815,263415,173145,256530,176970,225675,222360,160650,144075,128520,214200,181560,123165,204765,1
212,17595,7650,50745,57375,24735,28815,54060,33150,17850,11475,27030,31110,11985,9180,7395,24480,13005,21165,1
213,68850,91290,100470,143310,107610,152490,75990,71910,149940,76755,52530,51510,64515,54825,36975,46665,57375,61710,1
214,39270,4845,23970,67575,55335,49725,79050,36210,13515,11985,18360,6630,44880,31620,4335,4335,7650,14025,1
215,57630,31620,43605,108885,117045,45135,45135,113220,103275,9435,15810,23205,12240,13770,116535,27795,38250,160905,1
216,187935,196860,149430,151725,178245,173145,105315,66045,81600,81345,99450,202725,183855,102510,157590,202980,216750,154785,1
217,95115,122655,102765,90015,71910,112455,34680,42585,70635,44625,30090,39015,68085,73185,237660,213435,144330,105315,1
218,42330,69105,103275,58905,35445,44370,70890,68595,125460,94350,90270,90780,60435,85680,61710,73185,79815,134385,1
219,123675,102510,128010,215730,245565,338385,258060,278460,312375,350115,332520,244800,290190,271575,209610,174165,126990,154020,1
220,127500,91290,89250,102510,116025,121635,78540,68850,107355,86955,54825,86190,84660,116535,103530,104040,81345,129795,1
221,262140,198900,294270,236385,240465,173910,186660,223125,431715,373065,302940,208335,207825,240210,311610,217005,183600,236385,1
222,151725,160395,185895,170085,125970,129540,148155,165750,214710,140505,154275,153510,113220,118830,130560,98940,122145,211650,1
223,415650,175695,198900,211650,260100,496740,325380,346290,478125,555135,804015,53805,5865,9690,36975,3825,0,4590,1
224,445485,290445,390915,265710,248880,223890,253215,139485,129795,127755,199410,199155,170085,113220,125970,94095,122400,144840,1
225,531675,517905,648465,948345,190230,125970,248880,1076610,1086300,1029945,828240,705840,745110,157845,147900,873120,803505,635460,1
226,23205,188700,180795,174675,183345,88995,101745,231285,243525,269535,182325,188955,265965,273615,258570,204510,184110,63495,1
227,35190,40545,42330,72420,96900,128520,31365,24225,41310,24480,37230,43860,33915,31110,23460,29580,19635,41055,1
228,195075,206040,273615,303195,300390,671415,752760,716550,615825,478125,276420,233070,235620,190995,178245,193290,160905,207570,1
229,250920,164220,152490,113730,141525,225165,243270,177735,125715,120615,98940,154020,150450,121890,160905,134640,137700,214455,1
230,81345,91545,133620,87210,123675,154020,92820,49215,86445,47685,37995,27540,81600,76245,73185,90780,52530,47175,1
231,184620,230265,225165,145860,136170,187425,108375,126990,157080,132090,140250,122400,147135,114240,99450,134640,126990,91545,1
232,157080,178755,192525,109395,134130,91035,257295,195840,128520,102510,93840,76755,89250,102000,94605,87210,79305,95625,1
233,42840,35190,44625,51510,45135,44115,112200,91800,48960,49470,33915,30855,37230,31110,24480,30855,33660,29580,1
234,16320,12495,17595,15300,12240,12750,13515,16320,12240,20400,31620,19890,30345,14790,21675,13515,14280,22950,1
235,1275,265710,204510,684930,185895,493935,371280,800190,132855,202725,113475,90270,290445,36465,35445,55335,125715,774690,1
236,43860,54060,56100,36975,83385,141525,177735,190485,166005,132855,129030,139995,153255,79050,65280,46410,56100,68340,1
